xrun: 20.09-s003: (c) Copyright 1995-2020 Cadence Design Systems, Inc.
TOOL:	xrun	20.09-s003: Started on Apr 24, 2024 at 13:52:37 EDT
xrun
	-Q
	-unbuffered
	-timescale 1ns/1ns
	-sysv
	-access +rw
	design.sv
	testbench.sv
	Top level design units:
		waveform_tb
xmelab: *W,DSEMEL: This SystemVerilog design will be simulated as per IEEE 1800-2009 SystemVerilog simulation semantics. Use -disable_sem2009 option for turning off SV 2009 simulation semantics.
    			.index(counter),
    			             |
xmelab: *W,CUVMPW (./design.sv,49|20): port sizes differ in port connection(16/5) for the instance(waveform_tb.dut) .
    			.index(counter),
    			             |
xmelab: *W,CUVMPW (./design.sv,59|20): port sizes differ in port connection(16/5) for the instance(waveform_tb.dut) .
    			.duty_cycle(dut_cyc),
    			                  |
xmelab: *W,CUVMPW (./design.sv,60|25): port sizes differ in port connection(1/5) for the instance(waveform_tb.dut) .
    			.index(counter),
    			             |
xmelab: *W,CUVMPW (./design.sv,70|20): port sizes differ in port connection(16/5) for the instance(waveform_tb.dut) .
    			.duty_cycle(dut_cyc),
    			                  |
xmelab: *W,CSINFI (./design.sv,60|25): implicit wire has no fanin (waveform_tb.dut.dut_cyc).
Loading snapshot worklib.waveform_tb:sv .................... Done
SVSEED default: 1
xmsim: *W,RNDXCELON: A newer version of the SystemVerilog constraint solver is being used which has better support for array-solving, new solve-order mechanism, and seed stability enhancements..
xmsim: *W,DSEM2009: This SystemVerilog design is simulated as per IEEE 1800-2009 SystemVerilog simulation semantics. Use -disable_sem2009 option for turning off SV 2009 simulation semantics.
xcelium> source /xcelium20.09/tools/xcelium/files/xmsimrc
xcelium> run
*------------S T A R T------------*
Time =  0, clk=0 , freq_in=59042, rst =1, out=xxxxxxxxxxxxxxxx
Time =300, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =305, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =310, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =315, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =320, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =325, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =330, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =335, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =340, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =345, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =350, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =355, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =360, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =365, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =370, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =375, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =380, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =385, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =390, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =395, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =400, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =405, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =410, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =415, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =420, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =425, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =430, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =435, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =440, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =445, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =450, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =455, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =460, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =465, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =470, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =475, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =480, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =485, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =490, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =495, clk=1 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
Time =500, clk=0 , freq_in=64776, rst =1, out=xxxxxxxxxxxxxxx1
xmsim: *W,RNQUIE: Simulation is complete.
xcelium> exit
TOOL:	xrun	20.09-s003: Exiting on Apr 24, 2024 at 13:52:38 EDT  (total: 00:00:01)
